Wall time,Step,Value
1713899765.177512,1262080,594.0
1713899795.710513,1292800,594.0
1713899803.368512,1300480,594.0
1713899805.877512,1303040,594.0
1713899834.1415126,1331200,594.0
1713899836.6255121,1333760,594.0
1713899841.6325126,1338880,309.0
1713899844.125477,1341440,297.0
1713899846.5983312,1344000,594.0
1713899874.699727,1372160,594.0
1713899883.010251,1379840,300.0
1713899885.5241096,1382400,594.0
1713899916.4163435,1413120,594.0
1713899923.9439135,1420800,594.0
1713899926.4287717,1423360,594.0
1713899936.2582116,1433600,664.0
1713899954.147189,1451520,594.0
1713899964.3786051,1461760,594.0
1713899966.8274653,1464320,594.0
1713899975.218987,1472000,594.0
1713899982.9905427,1479680,722.0
1713899995.3288374,1492480,295.0
1713899997.7686994,1495040,671.0
1713900000.3775494,1497600,702.0
1713900003.3003824,1500160,722.0
1713900005.759242,1502720,594.0
1713900010.7569563,1507840,898.0
1713900013.2568178,1510400,299.0
1713900018.1625333,1515520,868.0
1713900023.167248,1520640,884.0
1713900025.6831045,1523200,814.0
1713900035.9765167,1533440,1425.0
1713900038.420377,1536000,898.0
1713900040.9872305,1538560,1132.0
1713900043.4610891,1541120,1409.0
1713900045.9379482,1543680,656.0
1713900048.406808,1546240,698.0
1713900050.9776611,1548800,294.0
1713900053.5345151,1551360,661.0
1713900058.4912329,1556480,1421.0
1713900061.0100892,1559040,1127.0
1713900063.8259282,1561600,1132.0
1713900066.3077846,1564160,1411.0
1713900069.0266304,1566720,296.0
1713900071.7654731,1569280,668.0
1713900074.4553213,1571840,669.0
1713900077.287158,1574400,295.0
1713900080.1139967,1576960,295.0
1713900082.795844,1579520,1417.0
1713900085.4656909,1582080,898.0
1713900088.1155398,1584640,722.0
1713900090.780389,1587200,847.0
1713900093.834213,1589760,292.0
1713900096.3460696,1592320,691.0
1713900098.7859302,1594880,680.0
1713900101.3237858,1597440,310.0
1713900103.88264,1600000,305.0
1713900106.385497,1602560,1417.0
1713900108.8493552,1605120,299.0
1713900111.41421,1607680,898.0
1713900113.8590708,1610240,304.0
1713900116.357927,1612800,722.0
1713900118.8828142,1615360,662.0
1713900121.4176385,1617920,898.0
1713900124.465466,1620480,314.0
1713900127.1993093,1623040,676.0
1713900130.0441458,1625600,1127.0
1713900133.0149755,1628160,1128.0
1713900135.7828178,1630720,310.0
1713900138.3656714,1633280,1126.0
1713900140.9335237,1635840,722.0
1713900143.5033767,1638400,305.0
1713900146.0942285,1640960,296.0
1713900148.7100801,1643520,1138.0
1713900151.33693,1646080,695.0
1713900154.3387587,1648640,1128.0
1713900156.8646138,1651200,297.0
1713900159.5064635,1653760,1125.0
1713900161.9713233,1656320,1127.0
1713900164.548175,1658880,315.0
1713900167.2590203,1661440,1419.0
1713900170.1168597,1664000,296.0
1713900172.8407016,1666560,304.0
1713900175.526548,1669120,1418.0
1713900178.1793969,1671680,315.0
1713900180.8272457,1674240,689.0
1713900183.9380693,1676800,314.0
1713900186.6039157,1679360,312.0
1713900189.1617699,1681920,670.0
1713900191.8176181,1684480,1128.0
1713900194.4724667,1687040,1138.0
1713900196.9703236,1689600,710.0
1713900199.4571822,1692160,1417.0
1713900202.1920257,1694720,309.0
1713900204.898874,1697280,843.0
1713900207.4257283,1699840,707.0
1713900209.9355838,1702400,1128.0
1713900212.8994145,1704960,313.0
1713900215.4402716,1707520,722.0
1713900218.0221229,1710080,308.0
1713900220.5609772,1712640,898.0
1713900223.0698338,1715200,1130.0
1713900225.8416824,1717760,679.0
1713900228.6655142,1720320,301.0
1713900231.1713722,1722880,1420.0
1713900233.656229,1725440,708.0
1713900236.2620807,1728000,294.0
1713900238.735939,1730560,1139.0
1713900241.3727891,1733120,1800.0
1713900244.2516265,1735680,898.0
1713900246.7504823,1738240,1130.0
1713900249.333334,1740800,1407.0
1713900252.0471807,1743360,707.0
1713900254.7860258,1745920,898.0
1713900257.6298609,1748480,1959.0
1713900260.26271,1751040,1525.0
1713900262.933557,1753600,310.0
1713900265.609405,1756160,1432.0
1713900268.251254,1758720,673.0
